id	string
1	初めまして。私は$s1です。クックッ、お前は$s2だろ？ヒッヒッヒッ。
2	$s1--$s2--$s3--$s4//$s5 ヒッヒッヒッ。
3	活性化
4	非活性化
5	$s1/$s2$s3時に次回の使用料を引き落とす。
6	(<font color="FFAABB">$s1</font>アデナ/$s2日)
7	$s1<a action="bypass -h menu_select?ask=-270&reply=$s2">非アクティブ</a>$s3
8	段階
9	$s1段階
10	$s1%%
1000001	侵入者を発見しました。
1000002	侵入者除去システムを起動します。
1000003	侵入者除去中．．．
1000004	致命的なエラーが発生しました。
1000005	システムを終了します．．．
1000006	．．．．．．
1000007	覚えてろ！
1000008	この屈辱、忘れぬぞ！
1000009	撤退！
1000010	戦略的に後退だ！
1000011	逃げろ！
1000012	思ったより手強い！
1000013	覚えておけよ！
1000014	次こそは、やってやる！
1000015	くぅ！手強い！
1000016	侵入者だ！
1000017	俺を殺しても何にもならないぜ．．．ククク。
1000018	次こそは必ず．．．
1000019	なぜ俺ばかり殴るんだ！
1000020	勘弁してくれ！
1000021	骨の芯まで痺れるぜっ！
1000022	俺は殴られ役か！
1000023	ついて来られるもんなら、ついて来な！
1000024	降伏だ！
1000025	あぁ、もうおしまいだ！
1000026	クソ！首を洗って待っとけ！
1000027	お、俺を助けてくれるなら、1千万アデナやるぞ！
1000028	$s1。おのれの無力さを思い知れ！
1000029	$s1！真の恐怖とは何かを教えてやろう！
1000030	愚かにも私にたてついた事を後悔させてやろう。$s1！覚悟しろ！
1000031	$s1。そんな手が通じるとでも思ったのか！
1000032	汚された私の名誉、必ずや挽回してみせる！
1000033	哀れな騎士の憎しみを受けてみろ！
1000034	あわれな偽善者に死を！
1000035	濡れ衣を晴らすまで決して眠りに付くことなぞ、できぬわ！
1000036	世の中を呪う者どもよ、私はここだ！
1000037	お前もさまよえる魂にしてやろう！
1000038	怨恨と憎悪の力でお前を呪ってやる！
1000039	グレシアの栄光のために！
1000040	生意気にも私と力比べをしたいだと？
1000041	こ、この私が敗北するとは！
1000042	私はヌルカ様の意思を伝える者だ！ 邪魔だ、どけ！
1000043	私の前を遮る者は、誰であろうが無事ではいられんぞ！
1000044	なに！私の邪魔をするのか！
1000045	私の仲間が復讐してくれるだろう！
1000046	私たちの神聖な大地を血に染める者！許さんぞ！
1000047	私の権威に挑戦する愚かな者どもよ、前に出よ！
1000048	私の創造者．．．私のご主人様に変わりない．．．忠誠を．．．
1000049	塔の．．．主人．．．私のご主人様．．．ご主人様．．．いずこに？
1000050	ワタシハ、コアノイシヲ スイコウスルモノ。
1000051	シンニュウシャヲ、ハカイ、セヨ。
1000052	ジョウタイ、イジョウ、サドウ、フノウ．．．
1000053	ベレス様の命に従い．．．お前たちを監視してやろう！
1000054	裏切り、謀略、殺戮．．．そんなことしか知らない愚かな輩どもよ．．．お前たちを見ていると、ハラワタが煮え返りそうだ。
1000055	私への挑戦、それはすなわちベレス様に対する挑戦である。
1000056	ベレス様は、常にお前たちを見ていらっしゃるのだ！
1000057	世界の破滅が迫っている！ アンタラス様が目を覚ましたぞ！ 
1000058	アンタラス様の意志に逆らう者よ！死ぬがいい！
1000059	アンタラス様、私の命をお受けください！
1000060	宝を取り戻すために、地獄の底から舞い戻ったぞ！
1000061	隠し持っている金銀財宝を我に捧げよ！
1000062	クハハハ！皆殺しじゃ！
1000063	ダメだ！まだ宝が．．．
1000064	ドラゴンバレーを侵犯した者たちよ、決して生きては帰さんぞ！
1000065	私はアンタラス様の命令を受けてここを守っている守護者だ！
1000066	許しなくドラゴンバレーに足を踏み入れるとは！死をもって罪を償うがいい！
1000067	アンタラス様、私の命をお受けください！
1000068	殺戮の喜び！強奪の快感！ククク、今日も一仕事やってやろうじゃねぇか。
1000069	世の中は、なんて怖いもの知らずなやつばっかりなんだ！懲らしめてやんぜ！
1000070	すべての物を手渡すというなら、命だけは助けてやってもいいぜ！
1000071	この程度のやつに屈服するとはな！
1000072	ご主人様の命に従い、すべての侵入者を懲らしめるのだ！
1000073	ご主人様の命に従い、侵入者に死の鉄槌を！
1000074	死は、しばしの休息に過ぎん。
1000075	よく聞くがいい！お前たちの時代はもう終わりだ！アンタラス様が目覚めるのだ！
1000076	お前の頭をアンタラス様に献上してやろう！
1000077	こ、この私が、未開な種族に負けるとは！
1000078	闇の支配を背に深淵から戻れり！
1000079	なんとも憎らしい。
1000080	ついに安息の時を迎えり。
1000081	オルフェン様に栄光あれ！
1000082	オルフェン様の名を聞いてまでも、ここを侵犯しようとするとは、お前ら許すまじ！
1000083	オルフェン様の地に土足で踏み込んだ罰を受けるのだ！
1000084	仮にこのように虚しく消えたとしても、お前たちは私がかけた呪いによって一生苦しめられるだろう．．．ククク。
1000085	神聖な妖精たちの住みかを荒らす者よ、この私が相手になってやろう！
1000086	我々の住みかを汚す者よ、我の手で葬ってやろう！
1000087	汝とその手下をこの谷から追い出すまで、私の兄弟たちは決して休むことはないだろう！ 
1000088	ヘストゥイ滅亡のその日まで！
1000089	勇猛なオークがまだ残っているなら．．それ！やってしまうのだ！
1000090	息の根を止めてやる！
1000091	結局、復讐は失敗した ．．．
1000092	ドワーフのピカピカ輝くミスリル、きれいな宝石！すべて手にいれるのだ！
1000093	臆病なチビたち、輝く石は、どこにある．．．
1000094	すべて出せ！きれいな宝石！
1000095	クッ！あの時逃げていれば．．．
1000096	破壊、消滅、殺戮、滅亡！破壊、消滅、殺戮、滅亡！
1000097	破壊！破壊！破壊！破壊！
1000098	破壊！破壊！破．．．
1000099	ジャジャーン！帰って来たウザンカ！
1000100	ワハハハ！この島は今日付けでウザンカ様が頂くのだ！
1000101	おーっと！おぬし、なかなかやるな
1000102	く、悔しい．．．こうもあっさりと負けるとは．．．
1000103	この世の中は恐怖と悲しみで満たされるべきだ．．．
1000104	私に呪いをかけたこの世の中．．決して許さんぞ！
1000105	皆に私と同じ苦痛を味あわせてやる！
1000106	お前にも永遠に解けることのない呪いをかけてやろう！
1000107	同胞を殺すやつらに復讐を！
1000108	臆病なやつは消えうせろ！勇敢なやつはかかって来い！
1000109	ベレス様から力を与えられた私が簡単にやられるとでも思っているのか！
1000110	私はこうやって消えていくが．．．もう一人の私がお前たちを倒しに来るであろう！
1000111	お前ら、俺様の縄張を見回りして来い！
1000112	近頃、俺様の縄張で好き勝手な事をやってるやつがいるそうだ．．．
1000113	俺様が誰だかわかるか！俺がまさしくシロッコ様だ！お前ら、やっちまえ！
1000114	こんなはずでは．．．不敗のシロッコがお前ごときに負けるとは！
1000115	腹へったー、キュルル～
1000116	餌の臭いがするぞ、キュルル～
1000117	キュルル～
1000118	ここの蜂蜜はどんな味かな？
1000119	うっとりするほど甘いと言われている、黄金の蜂蜜を出せ！
1000120	蜂蜜を出せば、命だけは助けてやるぞ
1000121	蜂蜜さえ見つかっていれば．．．.お前なんかに負けなかったはずだ。
1000122	裏切り者のクロボロスはどこだ！
1000123	周りをくまなく探せ！
1000124	クロボロスの手下か。一刀両断にしてやる！
1000125	裏切り者を排除できぬまま死ぬとは．．．
1000126	クロボロス様を信じぬ者は地獄に落ちるがいい！
1000127	このクロボロスを信じない者。この世がすなわち地獄なのだ！
1000128	偽りの神に仕える悪魔の手下め！この手で成敗してやろう！
1000129	う．．．我、死ぬにあらず。しばし消えるのみ．．．再び復活せん！
1000130	クロボロス教主様、万歳！
1000131	クロボロス様を信じる者だけが救われるのだ！
1000132	シャルクがそそのかしたやつだな！お前たちもクロボロス様を信じて救われるがよい！
1000133	クロボロス様がお前たちを懲らしめるだろう。
1000134	澄んだ輝きを放つ美しい霊魂を持つ者たちよ！私は帰って来たぞ！
1000135	疲労困憊した者たちよ．．．霊魂を私に授けなさい。
1000136	お前の霊魂の色はうっとりするほど美しい。
1000137	生きとし生ける者よ！お前たちの霊魂がどんなに美しいか知っているか！
1000138	み、皆殺しにしてやる．．．
1000139	こ、孤独だ．．．
1000140	わ、私のかたき．．．
1000141	もう、孤独ではない！
1000142	我々を．．．滅ぼさんとする．．．ピクシーミュリカ！決して許すまい！
1000143	ミュリカの優れた手下たちよ、かかってこい！
1000144	その程度の覇気では太刀打ちできないぞ！
1000145	これは終わりではなく．．．始まりに過ぎない。
1000146	ふっ．．．久しぶりの外出だ。何か楽しいことはないかな．．．
1000147	この辺りをのさばり歩いている輩がいるらしいが．．．
1000148	こいつ、私を誰だと思っている！私があのマレックスだ！皆の者、かかれ！
1000149	こんなはずでは．．．この不敗のマレックスがお前なんぞに負けるとは．．．
1000150	虚しい生を繰り返すだけだ．．．
1000151	命ある者はみな恐怖に慄け！
1000152	消えることのない炎に纏われるような苦しみを味あわせてやる！
1000153	再び土の中に．．．
1000154	ヴァリカ様！万歳！
1000155	誰も我々を止めることはできない！
1000156	動きが鈍いぞ！
1000157	ヴァリカ様！先に逝きます！
1000158	ここはどこだ？私は誰だ？
1000159	う．．．頭が割れるように痛い！私は誰なんだ？
1000160	貴様。貴様があの悪魔だな！私をこんな目に合わせた悪魔だな！
1000161	う．．．やっと正気になったか．．．ありがとう。やっとゆっくり休めそうだ。
1000162	ウクルマスタ！
1000163	マトゥナ？
1000164	マラッグ！トゥバリン！サバラチャ！
1000165	パグリオタマ！
1000166	イカルスの意志を、受け継ぐべし！
1000167	私の前を遮る者！許さんぞ！
1000168	浅はかなやろうども．．．
1000169	動力がまもなく足りなくなります。
1000170	戻る
1000171	アデナが繰越されました。
1000172	回：
1000173	1等
1000174	2等
1000175	3等
1000176	4等
1000177	当選した宝くじがありません。
1000178	今回の当選番号：
1000179	上の番号で選択
1000180	ここに近づこうとする者は誰だ！
1000181	ここは神聖な魔法を研究する所である。
1000182	偉大な魔法の力を見せてやろう！
1000183	なかなか大したものだな。だが、高位ウィザードには手を出さないほうがいいだろう。
1000184	砦の主人のバルダ様だ。ウハハハ！
1000185	あの砦は元々このバルダ様のものなのだ。
1000186	へえ、おもしろそうだな。
1000187	思ったよりやりそうだな。ここは一旦引いたほうがよさそうだ。
1000188	バカなメイジどもめ！
1000189	生意気にも我らの地に侵入するとはな！ただではおかないぞ！
1000190	お前らも邪悪なメイジとグルなのか。
1000191	これだからメイジの子分なんかと戦いたくなかったんだ。
1000192	今日も楽しい一日が始まるな．．．
1000193	放火と略奪は我々の専門さ。
1000194	お前の有り金も残らず頂いてやろう！
1000195	私が集めた宝物がそんなに欲しいのか。じゃ、探してみることだ！ハハハ！
1000196	皆の者、聞いておるのか。シリオン様のお戻りだ。皆の者、詠い敬拝せよ．．．
1000197	取るに足りん者どもよ！頭が高い！控えおろう！
1000198	取るに足りんつまらん者．．．
1000199	ック．．．私を打ち倒したと安ずるのはまだ．．．
1000200	この役立たずが．．．生者の欲望．．．
1000201	傲慢の塔が崩壊したワケを考えることだ．．．
1000202	欲深い者ども。欲深い貴族ども．．．
1000203	虚しい。すべてのことが虚しいのだ．．．
1000204	なぜだ、なぜにこんなに人が多いのだ？
